"COALINEA","NOALINEA"
"172401","Transferências de Convênios dos Estados e DF e de Suas Entidades para "
"112252","Taxa de Estudo de Impacto de Vizinhança (EIV)                         "
"171701","Transferências de Convênios da União e de Suas Entidades              "
"249999","Outras Transferências de Capital                                      "
"711250","Imposto sobre a Propriedade Predial e Territorial Urbana              "
"242299","Outras Transferências de Convênios dos Estados e DF e de Suas Entidade"
"243252","Transferências de Convênios dos Municípios destinadas a Programas de S"
"772400","Transferências de Convênios dos Estados e DF e de Suas Entidades      "
"113199","Outras Contribuições de Melhoria                                      "
"241100","Transferências de Recursos do Sistema Único de Saúde - SUS            "
"241200","Transferências de Recursos do Fundo Nacional do Desenvolvimento da Edu"
"241250","Transferências de Recursos Destinados a Programas de Educação         "
"241400","Transferências de Convênios da União e de suas Entidades              "
"769900","Outros Serviços                                                       "
"761100","Serviços Administrativos e Comerciais Gerais                          "
"131001","Exploração do Patrimônio Imobiliário do Estado                        "
"123100","Contribuições para Entidades Privadas de Serviço Social e de Formação "
"111250","Imposto sobre a Propriedade Predial e Territorial Urbana              "
"133302","Delegação dos Serviços de Telecomunicação - Atividade Ordenadora no Re"
"112250","Taxas Judiciais                                                       "
"121102","Contribuição para Financiamento da Seguridade Social - COFINS sobre o "
"121699","Contribuição para Fundos de Assistência Médico-Hospitalar e Social    "
"121550","Contribuição Patronal - Servidor Civil Inativo e Pensionistas         "
"123150","Contribuições para Entidades Privadas de Serviço Social e de Formação "
"122100","Contribuições Econômicas                                              "
"111251","Imposto sobre a Propriedade de Veículos Automotores                   "
"139999","Outras Receitas Patrimoniais                                          "
"171750","Transferências de Convênios da União para o Sistema Único de Saúde - S"
"171753","Transferências de Convênios da União Destinadas a Programas de Combate"
"151100","Receita Industrial                                                    "
"151101","Receita Industrial                                                    "
"161100","Serviços Administrativos e Comerciais Gerais                          "
"171999","Outras Transferências de Recursos da União e de suas Entidades        "
"172200","Transferências das Compensações Financeiras pela Exploração de Recurso"
"162101","Serviços de Navegação                                                 "
"172250","Transferência da Cota-parte da Compensação Financeira (25%)           "
"172350","Transferências de Recursos do Sistema Único de Saúde - SUS            "
"172950","Transferências de Estados a Consórcios Públicos                       "
"169099","Outros Serviços                                                       "
"111252","Imposto sobre Transmissão ""Causa Mortis"" e Doação de Bens e Direitos  "
"111452","Imposto sobre Vendas a Varejo de Combustíveis Líquidos e Gasosos (IVVC"
"111253","Imposto sobre Transmissão ""Inter Vivos"" de Bens Imóveis e de Direitos "
"121200","Contribuição para o Programa de Integração Social e para Programa de F"
